University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Universidade Federal de Goiás,Jales,Brazil,Engineer I,Progressive reciprocal policy,2018-02-13,2018-09-19,8520.17,BRL
Uganda Martyr's University,Bukedea,Uganda,Analyst Programmer,Profit-focused incremental initiative,2019-06-08,2019-12-21,2817.69,UGX
Kirkwood Community College,Columbia,United States,Desktop Support Technician,Open-architected 24/7 system engine,2019-06-23,2020-01-25,2692.39,USD
Southwest University of Political Science and Law,Dongbei,China,Geological Engineer,Seamless value-added monitoring,2016-02-29,2016-09-30,339.42,CNY
3rd Military Medical University,Rongcheng,China,Software Engineer II,Seamless disintermediate knowledge user,2017-08-18,2017-11-20,4695.61,CNY
Beijing University of Chemical Technology,Wanbu,China,Senior Developer,Implemented user-facing alliance,2019-06-21,2019-12-20,2903.53,CNY
Halmstad University College,Norrköping,Sweden,Community Outreach Specialist,Virtual methodical throughput,2017-12-03,2018-01-03,9014.74,SEK
Universitas 17 Agustus 1945 Samarinda,Kemendung,Indonesia,Environmental Specialist,Stand-alone background Graphic Interface,2019-03-04,2019-08-04,899.39,IDR
Wuhan Automobile Polytechnical University,Xiaosong,China,VP Product Management,Business-focused coherent access,2018-05-29,2018-08-31,5216.18,CNY
University of Zimbabwe,Zvishavane,Zimbabwe,Structural Engineer,Intuitive multimedia infrastructure,2017-09-25,2017-12-20,2608.51,ZWL
Atyrau State University,Shardara,Kazakhstan,Safety Technician III,Re-engineered even-keeled strategy,2017-07-05,2017-08-29,9133.73,KZT
Jinan University,Biru,China,Programmer III,Persistent full-range policy,2016-12-08,2017-04-02,2744.67,CNY
Wuyi University,Tuoshi,China,Information Systems Manager,User-centric systematic website,2019-07-03,2019-11-08,5254.31,CNY
Universitas Islam Jakarta,Ngedhusuba,Indonesia,Director of Sales,Fundamental attitude-oriented support,2016-10-31,2017-05-04,4694.13,IDR
University of Science and Technology of China,Lanlongkou,China,Social Worker,Organized mobile forecast,2019-11-16,2020-02-26,2121.53,CNY
Trisakti Institute of Tourism ,Mekarjaya Satu,Indonesia,Nurse Practicioner,Optimized mobile workforce,2016-11-06,2017-02-27,7187.66,IDR
University of Pretoria,Villiers,South Africa,Cost Accountant,Distributed heuristic methodology,2019-03-18,2019-07-23,5976.26,ZAR
Hunan Normal University,Lin’an,China,Associate Professor,Enhanced modular task-force,2019-01-21,2019-04-25,6652.26,CNY
St. Petersburg State University of Culture and Arts,Novosineglazovskiy,Russia,Database Administrator III,Programmable actuating moratorium,2019-03-29,2019-09-09,6219.84,RUB
Universitas Negeri Manado,Tinabogan,Indonesia,Mechanical Systems Engineer,Distributed next generation utilisation,2017-03-04,2017-09-25,2444.98,IDR
National Agricultural University,Staryy Sambor,Ukraine,Structural Engineer,Ameliorated analyzing model,2018-10-13,2019-04-07,5854.12,UAH
Shanghai Sanda University,Xianghua,China,Geological Engineer,Cross-platform even-keeled throughput,2019-08-20,2019-12-24,8139.12,CNY
Instituto Politécnico do Cávado e do Ave,Vila Nova de Santo André,Portugal,Occupational Therapist,Enhanced background implementation,2019-06-24,2019-10-02,7017.45,EUR
Shandong Medical University,Shijie,China,Statistician III,Synergistic context-sensitive analyzer,2018-09-17,2019-03-15,5702.4,CNY
University of Jinan,Beigou,China,Human Resources Assistant III,Phased dedicated forecast,2017-08-10,2017-11-11,3658.48,CNY
Gansu University of Technology,Baiyang,China,Chief Design Engineer,Progressive grid-enabled firmware,2017-09-13,2018-03-05,3547.86,CNY
James Madison University,Albuquerque,United States,Tax Accountant,Networked bottom-line initiative,2017-06-24,2017-11-24,4488.74,USD
Universidad Central del Valle del Cauca,Arjona,Colombia,Technical Writer,Up-sized coherent projection,2018-04-07,2018-08-17,2117.86,COP
Radboud University of Nijmegen,Katwijk,Netherlands,VP Quality Control,Devolved holistic open architecture,2018-11-05,2019-04-12,1729.21,EUR
FAE Business School - Faculdade de Administração e Economia,Belo Jardim,Brazil,Account Coordinator,Intuitive multi-tasking projection,2018-03-12,2018-08-10,9304.9,BRL
National University of Defense Technology,Shuangfeng,China,Accounting Assistant II,Public-key scalable pricing structure,2017-04-08,2017-07-12,4327.2,CNY
National Transport University,Dovhe,Ukraine,Design Engineer,Organic fault-tolerant collaboration,2017-01-13,2017-01-28,3824.03,UAH
Dongbei University of Finance And Economics,Cihua,China,Executive Secretary,Universal contextually-based software,2018-07-15,2018-09-12,6873.25,CNY
University College of the Cariboo,Richibucto,Canada,Software Test Engineer IV,Expanded mission-critical projection,2019-04-18,2019-10-27,3874.28,CAD
Kitasato University,Neyagawa,Japan,Software Consultant,Organized executive task-force,2019-08-02,2020-01-06,4867.4,JPY
Universidade Federal Rural do Rio de Janeiro,Lajedo,Brazil,Executive Secretary,Face to face mobile open system,2016-11-12,2017-03-25,2120.08,BRL
University of Jinan,Guanchi,China,Paralegal,Operative multimedia standardization,2018-02-04,2018-05-23,5351.95,CNY
Universitas Tanjungpura,Kaduseeng,Indonesia,Information Systems Manager,Intuitive systemic forecast,2016-03-31,2016-08-11,5686.63,IDR
Universitas Proklamasi 45,Gludug,Indonesia,VP Sales,Exclusive discrete benchmark,2018-02-11,2018-06-27,5917.41,IDR
Shanghai Ouhua Vocational Technical College,Jinshan,China,Food Chemist,Extended client-driven process improvement,2016-09-08,2017-01-07,5618.68,CNY
Qafqaz University,Sumqayıt,Azerbaijan,Senior Cost Accountant,User-friendly composite algorithm,2016-12-11,2017-03-17,8788.36,AZN
Universidade Internacional Lisboa,Ladoeiro,Portugal,Nurse,Switchable bifurcated benchmark,2019-05-01,2019-06-22,3205.34,EUR
Razi University,Shīrvān,Iran,Senior Developer,Managed motivating alliance,2018-06-06,2018-07-13,6473.01,IRR
Chongqing University of Communications,Hohhot,China,Data Coordinator,Extended incremental software,2019-11-24,2020-05-22,280.77,CNY
Universidade Catolica Portuguesa,Beja,Portugal,Graphic Designer,Decentralized global capability,2019-09-19,2020-01-19,3887.72,EUR
Universidad Regional del Sureste,Emiliano Zapata,Mexico,Nurse,Versatile bi-directional portal,2016-07-18,2017-02-17,5852.1,MXN
Institucion Universitaria de Envigado,Buenos Aires,Colombia,Senior Cost Accountant,Cross-group 4th generation synergy,2016-06-03,2016-12-28,7328.98,COP
Samara State Academy of Architecture and Civil Engineering,Tukan,Russia,Librarian,Customer-focused grid-enabled archive,2019-05-07,2019-05-22,6328.4,RUB
Hokkaido University,Hajoho,Comoros,Office Assistant II,Programmable 5th generation utilisation,2019-02-09,2019-03-15,5716.82,KMF
Nanjing University of Aeronautics and Astronautics,Geshan,China,Cost Accountant,Programmable actuating software,2018-03-22,2018-10-06,4058.59,CNY
Tianjin Normal University,Changxi,China,Design Engineer,Right-sized intermediate info-mediaries,2017-10-01,2018-03-31,590.4,CNY
Capitol University,San Antonio,Philippines,Community Outreach Specialist,Face to face tangible infrastructure,2019-05-26,2019-07-28,3740.88,PHP
Alfred Nobel University of Economics and Law ,Strohonivka,Ukraine,Web Designer I,Cloned full-range moratorium,2018-08-08,2018-10-31,727.49,UAH
Universidade Católica de Pernambuco,Almenara,Brazil,Dental Hygienist,Public-key optimizing benchmark,2019-02-24,2019-06-11,2184.95,BRL
International Hellenic University,Loúros,Greece,Editor,Grass-roots encompassing flexibility,2017-03-29,2017-08-12,1566.64,EUR
Mongolian University of Science and Technology,Rashaant,Mongolia,Media Manager IV,Enterprise-wide foreground paradigm,2018-04-06,2018-07-21,7040.06,MNT
Sun Yat-Sen University of Medical Sciences,Shengci,China,Structural Engineer,Synchronised didactic knowledge base,2018-09-25,2019-03-16,7364.28,CNY
Singidunum University,Niš,Serbia,Compensation Analyst,Networked web-enabled attitude,2018-05-15,2018-10-19,7648.15,RSD
Caucasus University,K’ulashi,Georgia,Help Desk Operator,Optimized scalable groupware,2018-12-16,2018-12-24,2082.91,GEL
Grenoble Ecole de Management,Cergy-Pontoise,France,Staff Accountant III,Balanced leading edge capability,2019-09-22,2020-03-08,9016.4,EUR
Copperbelt University,Kitwe,Zambia,Environmental Tech,Virtual heuristic local area network,2018-10-29,2019-05-27,3928.93,ZMW
Universidad de Matanzas Camilo Cienfuegos,Jaruco,Cuba,Analog Circuit Design manager,Organized cohesive task-force,2018-12-26,2019-04-16,5286.87,CUP
Universidade Estadual do Centro-Oeste,Tijucas,Brazil,Legal Assistant,Enhanced client-server monitoring,2017-01-11,2017-08-16,5998.39,BRL
Stavropol State Technical University,Osa,Russia,Office Assistant III,Future-proofed optimal encryption,2017-07-19,2017-08-03,7208.74,RUB
Instituto Piaget,Raposeira,Portugal,Research Nurse,Switchable cohesive groupware,2019-09-26,2020-01-22,4506.6,EUR
Azerbaijan University ol Languages,Əhmədbəyli,Azerbaijan,Marketing Manager,Inverse interactive productivity,2017-01-11,2017-05-09,8661.51,AZN
Technical University of Szczecin,Słupno,Poland,Quality Control Specialist,Triple-buffered well-modulated help-desk,2016-05-04,2016-09-02,4652.74,PLN
Mid-Sweden University,Nacka,Sweden,Occupational Therapist,Digitized homogeneous complexity,2019-03-01,2019-05-03,127.93,SEK
